"List of Projects as per Smart City Proposal : Kochi","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development (ABD)",""
"","Water supply - West Kochi",""
"1.0","Karuvelipady Pump house  Pumping augmentation","1.0"
"2.0","Extension of pipelines from Maradu to Island to be extended to West Kochi to supply 12
MLD","0.55"
"3.0","Replacement of pipe lines from Perumanoor to Thevara and Thoppumpady bridge to
Karuvelipady","11.0"
"4.0","Dedicated pumping main","3.5"
"5.0","Storage capacity augmentation in Karuvelipady sump by 5 million litres","8.0"
"6.0","Three OH Tanks in the region (Modibath, Fort Kochi and Koovapadam); Rejuvenation of the","0.75"
"7.0","Replacement of 20 kms of Distribution line with D.I. pipes including Road cutting charges","35.0"
"8.0","Replacement of Household connections (last mile) for across 10,000 HSCs with Smart
Metering and isolation valves","25.0"
"9.0","Bulk Meters and Isolation valves with remote meter reading","1.0"
"10.0","Rider line for increased water supply","10.0"
"11.0","Overhead Storage Reservoir + 1 Million Litre Sump + pump near Ernakulam Ground","3.0"
"12.0","Replacement of connections (last mile) for across 10,000 HSCs (Commercial and Domestic)
with Smart Metering and isolation valves","20.0"
"13.0","Bulk Meters and Isolation valves with remote meter reading","1.5"
"","Water supply - General",""
"14.0","Rainwater structures in ~5000 households","11.25"
"","UGSS",""
"15.0","Decentralized Treatment and collection system for West Kochi under ADB (Mundamveli)","22.0"
"16.0","Small bore sewer/ Vacuum system for onsite sanitation - Includes storage facility for
treated water use for landscaping","110.0"
"17.0","Improvements to Elamkulam STP and collection system Mainland (JNNURM scheme)","70.0"
"","NMT Roads and Pedestrianized areas",""
"18.0","Relaying of roads","42.0"
"19.0","Standard Footpaths including signages","28.53"
"20.0","Restoration/ Rehabilitation of Stormwater drains in the proposed area","23.6"
"21.0","MLCP and Commercial complex at Kacheripady","50.0"
"","Main roads",""
"22.0","World class Arterial roads -- KB Jacob & Amravati Road/ Bazaar Road in West/ -- Avenue,
MG Rd, DH Rd, Banerjee Rd in Central city","52.87"
"23.0","Relaying of roads, Aesthetic and improved Urban design Pedestrian facilities with Street
furniture, Boulevards and urban greenery","16.5"
"24.0","Utility ducting for SWD, Water supply, Sewerage, OFC etc","33.0"
"25.0","Signages, Junction improvement with Intelligent Traffic management","0.97"
"26.0","Escalator FOBs","2.4"
"","Energy Supply - West Kochi",""
"27.0","Compact Secondary Substation (990 KVA)","1.8"
"28.0","Undergound HT Line",""
